edge_id,V1,V2
e0,0,1
e1,0,6
e2,1,2
e3,1,7
e4,2,3
e5,2,8
e6,3,4
e7,3,9
e8,4,5
e9,4,10
e10,5,11
e11,6,7
e12,6,12
e13,7,8
e14,7,13
e15,8,9
e16,8,14
e17,9,10
e18,9,15
e19,10,11
e20,10,16
e21,11,17
e22,12,13
e23,12,18
e24,13,14
e25,13,19
e26,14,15
e27,14,20
e28,15,16
e29,15,21
e30,16,17
e31,16,22
e32,17,23
e33,18,19
e34,19,20
e35,20,21
e36,21,22
e37,22,23
e38,24,25
e39,24,29
e40,25,26
e41,25,30
e42,26,27
e43,26,31
e44,27,28
e45,27,32
e46,28,33
e47,29,30
e48,29,34
e49,30,31
e50,30,35
e51,31,32
e52,31,36
e53,32,33
e54,32,37
e55,33,38
e56,34,35
e57,35,36
e58,36,37
e59,37,38
e60,24,0
e61,24,1
e62,24,6
e63,24,7
e64,25,1
e65,25,2
e66,25,7
e67,25,8
e68,26,2
e69,26,3
e70,26,8
e71,26,9
e72,27,3
e73,27,4
e74,27,9
e75,27,10
e76,28,4
e77,28,5
e78,28,10
e79,28,11
e80,29,6
e81,29,7
e82,29,12
e83,29,13
e84,30,7
e85,30,8
e86,30,13
e87,30,14
e88,31,8
e89,31,9
e90,31,14
e91,31,15
e92,32,9
e93,32,10
e94,32,15
e95,32,16
e96,33,10
e97,33,11
e98,33,16
e99,33,17
e100,34,12
e101,34,13
e102,34,18
e103,34,19
e104,35,13
e105,35,14
e106,35,19
e107,35,20
e108,36,14
e109,36,15
e110,36,20
e111,36,21
e112,37,15
e113,37,16
e114,37,21
e115,37,22
e116,38,16
e117,38,17
e118,38,22
e119,38,23
